1;01:13:14;02:10:07;05:10:13;05:42
2;01:10:43;02:33:49;05:17:26;05:48
3;01:14:29;02:15:11;05:24:24;05:57
4;01:13:11;02:11:51;05:28:39;06:07
5;01:08:11;02:37:50;06:03:51;06:08
6;01:13:42;02:14:19;05:36:39;06:09
7;01:14:01;02:10:38;05:19:51;06:20
8;01:20:06;02:23:10;05:47:28;06:20
9;01:11:40;02:26:39;05:44:55;06:22
10;01:17:52;02:15:17;05:21:18;06:22
11;01:13:41;02:17:51;05:30:52;06:31
12;01:11:22;02:14:05;05:28:43;06:32
13;01:23:31;02:33:28;05:57:12;06:36
14;01:24:06;02:37:36;06:07:42;06:42
15;01:16:51;02:51:04;06:12:03;06:48
16;01:27:11;02:40:15;06:13:25;06:51
17;01:24:48;02:40:30;06:16:41;06:52
18;01:29:29;02:40:18;06:16:41;06:54
19;01:27:09;02:21:01;06:18:29;06:58
20;01:24:46;02:47:55;06:23:25;07:00
21;01:26:31;02:41:27;06:23:27;07:01
22;01:22:54;02:40:14;06:24:04;07:02
23;01:19:05;02:44:11;06:05:20;07:08
24;01:29:20;02:43:58;06:29:49;07:09
25;01:30:50;02:47:58;06:30:05;07:09
26;01:21:58;02:31:02;05:59:09;07:10
27;01:28:21;02:42:08;06:31:00;07:14
28;01:26:36;02:40:27;06:33:05;07:15
29;01:28:13;02:49:26;06:43:38;07:23
30;01:24:43;02:43:41;06:42:21;07:24
31;01:27:04;02:44:35;06:43:50;07:24
32;01:29:18;02:48:48;06:43:18;07:24
33;01:26:35;02:39:20;06:40:51;07:25
34;01:18:55;02:46:58;06:44:31;07:27
35;01:32:41;02:52:03;06:49:05;07:28
36;01:29:01;02:41:20;06:46:29;07:28
37;01:25:21;02:41:19;06:42:59;07:32
38;01:28:11;02:50:48;06:47:22;07:34
39;01:35:05;02:50:38;06:59:45;07:35
40;01:29:57;02:45:13;06:55:08;07:39
41;01:24:47;02:43:57;06:54:00;07:40
42;01:32:53;02:46:39;06:59:41;07:43
43;01:27:17;02:51:36;07:03:13;07:45
44;01:33:21;02:55:31;07:00:50;07:48
45;01:39:45;03:04:18;07:11:01;07:52
46;01:35:39;03:04:07;07:10:41;07:55
47;01:40:33;03:08:37;07:12:16;07:56
48;01:37:53;03:01:47;07:16:15;08:02
49;01:31:47;03:04:11;07:18:31;08:02
50;01:33:45;03:12:09;07:22:02;08:04
51;01:29:20;02:44:25;06:55:09;08:05
52;01:43:00;03:12:13;07:19:16;08:05
53;01:30:40;02:57:18;07:35:12;08:15
54;01:28:08;02:56:28;07:03:21;08:16
55;01:35:32;02:56:15;07:22:32;08:19
56;01:38:46;03:03:53;07:31:36;08:21
57;01:36:28;03:01:44;07:10:42;08:25
58;01:31:32;03:11:41;07:38:10;08:28
59;01:41:13;03:04:07;07:38:42;08:34
60;01:44:00;03:08:44;07:22:25;08:36
61;01:37:05;03:08:36;08:04:34;08:57
62;01:54:22;03:29:45;08:12:29;08:58
63;01:42:10;03:17:44;08:12:32;09:00
64;01:54:26;03:35:05;08:14:34;09:04
65;01:43:09;03:17:35;08:14:10;09:17
66;01:38:50;03:10:54;08:18:31;09:20
67;01:54:25;03:35:07;08:14:33;09:34
68;01:47:35;03:38:45;08:36:40;09:35
69;01:50:12;03:34:24;08:43:03;09:41
70;01:34:01;03:02:10;07:03:24;09:42
71;01:47:03;03:31:07;08:42:57;09:42
72;01:40:20;03:14:08;07:56:30;09:44
73;01:53:27;03:46:59;08:57:20;09:50
74;01:53:59;03:46:54;08:57:15;09:50
75;01:54:15;03:35:00;08:57:25;09:55
